Durumu;Stok Kodu;Stok Adı;Üretim Kodu;Üretim Adı;Planlama Miktarı;Şube Kodu;Kaydeden;Kayıt Tarihi;Değiştiren;Değiştirme Tarihi;Ticari Ünvanı;Teslim Tarihi;Adı Soyadı
Reçete;ST00226;CACIK;BUR00031;CACIK;120;MERKEZ;MERKEZ;15.09.2025;MERKEZ;23.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000313;SALATALIK;3;0;KİLOGRAM;3;KİLOGRAM;MERKEZ;;;;;
;ST00227;KURU NANE;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,1;0;LİTRE;0,1;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000437;KAYMAKSIZ YOĞURT KOVA KG;20;0;KİLOGRAM;20;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00229;DOMATES ÇORBASI;BUR00032;DOMATES ÇORBASI;120;MERKEZ;MERKEZ;15.09.2025;MERKEZ;23.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000020;OVA UN ;4;0;KG;4;KG;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;2;0;LİTRE;2;LİTRE;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000013;SALÇA;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000110;TOZ BİBER;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,5;0;KİLOGRAM;0,5;KİLOGRAM;MERKEZ;;;;;
;st0000002;KREMA;1;0;LİTRE;1;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00254;ETLİ TAZE FASULYE YEMEĞİ;BUR00033;ETLİ TAZE FASULYE YEMEĞİ;120;MERKEZ;MERKEZ;8.10.2025;MERKEZ;23.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000468;DONUK TAZE FASÜLYE;30;0;KİLOGRAM;30;KİLOGRAM;MERKEZ;;;;;
;st0000102;KUŞBAŞI;5;0;KİLOGRAM;5;KİLOGRAM;MERKEZ;;;;;
;st0000321;SOĞAN;2;0;KİLOGRAM;2;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;3;0;KİLOGRAM;3;KİLOGRAM;MERKEZ;;;;;
;st0000013;SALÇA;1,5;0;KİLOGRAM;1,5;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;1,5;0;LİTRE;1,5;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,2;0;KİLOGRAM;0,2;KİLOGRAM;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000099;ÖNCÜ PUL BİBER 1 KG;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00255;GARNİTÜRLÜ PİRİNÇ PİLAVI;BUR00034;GARNİTÜRLÜ PİRİNÇ PİLAVI;1;MERKEZ;MERKEZ;8.10.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000058;PİRİNÇ;0,083;0;KİLOGRAM;0,083;KİLOGRAM;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000017;TRAKYAĞ SIVIYAĞ LT;0,008;0;LİTRE;0,008;LİTRE;MERKEZ;;;;;
;ST00256;GARNİTÜR;0,017;0;KİLOGRAM;0,017;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00257;SAKIZLI MUHALLEBİ;BUR00035;SAKIZLI MUHALLEBİ;1;MERKEZ;MERKEZ;8.10.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;0,133;0;LİTRE;0,133;LİTRE;MERKEZ;;;;;
;ST00258;SAKIZ;0,001;0;GRAM;0,001;GRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,025;0;KİLOGRAM;0,025;KİLOGRAM;MERKEZ;;;;;
;st0000079;DR OETKER VANILYA 1 KG;0,006;0;KİLOGRAM;0,006;KİLOGRAM;MERKEZ;;;;;
;st0000021;NİŞASTA 10 KG ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00282;ELMALI KURABİYE;BUR00036;ELMALI KURABİYE;30;MERKEZ;MERKEZ;10.11.2025;MERKEZ;23.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000130;ALBA SADE 10KG;0,25;0;KİLOGRAM;0,25;KİLOGRAM;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;0,115;0;LİTRE;0,115;LİTRE;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;0,1;0;LİTRE;0,1;LİTRE;MERKEZ;;;;;
