Stok Kodu;Stok Adı;Grubu;Birimi;MUTLULUK KAHVELERİ;ÇINARLI;AYAKÜSTÜ
st0000431;SANDVİÇ EKMEĞİ BÜFE TİP 6*65 GR;Hammadde;PAKET;0,00;0,00;0,00
st0000432;HAMBURGER EKMEĞİ BÜFE TİP 6*85 GR;Hammadde;PAKET;0,00;0,00;0,00
st0000433;TOST EKMEĞİ 1000 GR;Hammadde;ADET;0,00;0,00;0,00
st0000437;KAYMAKSIZ YOĞURT KOVA KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000438;SÜTAŞ TOST PEYNİRİ DİLİMLİ KG ;Hammadde;ADET;0,00;0,00;0,00
st0000439;SÜT YARIM YAĞLI 1 LT;Hammadde;LİTRE;0,00;0,00;0,00
st0000440;KAYMAKSIZ YOĞURT 200 GR;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000442;SÜZME YOĞURT;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000443;BURGER PEYNİRİ 1000 G;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000446;BAMYA;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000448;GEDİK PL. KOKT. SOSİS 1KG*8;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000450;KARPUZ;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000451;SILVER 9*9 PATATES 12*5;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000452;GDK UZUN SOSİS 1000 GR;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000453;DOLMALIK BİBER;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000454;KÖFTE;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000455;ANANAS;Hammadde;ADET;0,00;0,00;0,00
st0000188;MISIR UNU 1 KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000189;NAR EKŞİLİ SOS;Hammadde;LİTRE;0,00;0,00;0,00
st0000190;SALATALIK TURŞUSU;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000191;TEKSEN SİYAH ZEYTİN EZMESİ 5 KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000192;TAM YAĞLI SÜT 1 LT;Hammadde;LİTRE;0,00;0,00;0,00
st0000210;KÜHNE TÜRK TİPİ 720 MLT SALATALIK;Hammadde;ADET;0,00;0,00;0,00
st0000214;ACIBİBER SOSU;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000215;FO TOPING FRAMBUAZ;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000216;FO MEYVE PÜRESİ FROZEN AHUDUDU;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000217;FO ŞURUP KOKTEYL;Hammadde;KİLOGRAM;0,00;0,00;0,00
