Stok Kodu;Stok Adı;Grubu;Birimi
st0000015;KARABİBER 1000GR;Hammadde;KİLOGRAM
st0000016;POŞET SAF TUZ  MİNİ;Hammadde;ADET
st0000017;TRAKYAĞ SIVIYAĞ LT;Hammadde;LİTRE
st0000018;POŞET KARABİBER MİNİ;Hammadde;ADET
st0000004;ÜLKER TEREMYAĞ KG;Hammadde;KİLOGRAM
st0000005;FRİTA YAĞI 18 LT;Hammadde;LİTRE
st0000054;TBT JUMBO DEMLİK 30 GR OFÇAY ( 30 ADET);Hammadde;KİLOGRAM
st0000056;GALETA UNU;Hammadde;KİLOGRAM
st0000057;TORTİLLA LAVAŞ 12 Lİ;Hammadde;ADET
st0000058;PİRİNÇ;Hammadde;KİLOGRAM
st0000059;KIRMIZI MERCİMEK YERLİ;Hammadde;KİLOGRAM
st0000060;KÖZLENMİŞ PATLICAN;Hammadde;KİLOGRAM
st0000061;CEVİZ İÇİ;Hammadde;KİLOGRAM
st0000062;PUDRA ŞEKERİ DÖKME;Hammadde;KİLOGRAM
st0000063;DONUK ISPANAK;Hammadde;KİLOGRAM
st0000065;TEREYAĞI 1 KG;Hammadde;KİLOGRAM
st0000073;KAVUN;Hammadde;ADET
st0000074;NANE;Hammadde;ADET
st0000078;TOZ ŞEKER 50 KG;Hammadde;KİLOGRAM
st0000079;DR OETKER VANILYA 1 KG;Hammadde;KİLOGRAM
st0000080;PEYNİR TATLISI DÖKME KG GÜVENAL;Hammadde;KİLOGRAM
st0000083;AYÇİÇEK YAĞI  LT;Hammadde;LİTRE
st0000084;KURU FASÜLYE;Hammadde;KİLOGRAM
st0000085;İRİ NOHUT MEKSİKA 10 MM;Hammadde;KİLOGRAM
st0000086;ÜZÜM NO 10 MM;Hammadde;KİLOGRAM
st0000088;KAKAO 1 KG;Hammadde;KİLOGRAM
st0000089;FINDIK KIRIK 1 KG;Hammadde;KİLOGRAM
st0000091;FİYONK MAKARNA 5 KG;Hammadde;KİLOGRAM
st0000092;TBT-JUMBO DEMLİK 30 GR OFÇAY;Hammadde;KİLOGRAM
st0000095;ÇAY KİLOLUK;Hammadde;KİLOGRAM
st0000097;M.EFENDİ KAHVE 100GR*25 ADET;Hammadde;KOLİ
st0000098;DİLİMLİ KAŞAR PEYNİRİ;Hammadde;KİLOGRAM
st0000099;ÖNCÜ PUL BİBER 1 KG;Hammadde;KİLOGRAM
st0000100;M.EFENDI KAHVE 500GR TNK;Hammadde;ADET
st0000102;KUŞBAŞI;Hammadde;KİLOGRAM
st0000103;KIYMA;Hammadde;KİLOGRAM
st0000108;KİMYON;Hammadde;KİLOGRAM
st0000109;KEKİK 1000 GR;Hammadde;KİLOGRAM
st0000110;TOZ BİBER;Hammadde;KİLOGRAM
st0000111;PINAR MAYONEZ SERVİS 700 GR;Hammadde;KİLOGRAM
st0000116;S.FRESH FINEFOOD ISPANAK 10 KG;Hammadde;KİLOGRAM
st0000117;DONUK SARIMSAK SOYULMUŞ;Hammadde;KİLOGRAM
st0000122;SEĞMEN TAHAN 1.5 KG;Hammadde;KİLOGRAM
st0000123;PEKMEZ 1 KG;Hammadde;KİLOGRAM
st0000124;HİNDİSTAN CEVİZİ;Hammadde;KİLOGRAM
st0000130;ALBA SADE 10KG;Hammadde;KİLOGRAM
st0000131;ÇÖREK OTU;Hammadde;KİLOGRAM
st0000126;NAR TOZ ŞEKER 5 KG;Hammadde;KİLOGRAM
st0000138;TOST PEYNİRİ DİLİMLİ 2 KG;Hammadde;KİLOGRAM
st0000140;HEINZ HARDAL MILD 445 GR;Hammadde;ADET
st0000142;KNORR PRATİK PATATES PÜRESİ;Hammadde;KİLOGRAM
st0000143;KABUK TARÇIN;Hammadde;KİLOGRAM
st0000144;YOĞURT 2 KG;Hammadde;ADET
st0000145;TURYAĞ 18 LT (FRİTÖZ YAĞI);Hammadde;LİTRE
st0000147;ÖNCÜ BİBER SALÇA;Hammadde;KİLOGRAM
st0000148;YAĞDA KURUTULMUŞ DOMATES 3 KG;Hammadde;KİLOGRAM
st0000149;POLONEZ DANA DİLİMLİ TOST JAMBON;Hammadde;KİLOGRAM
st0000152;PINAR KETÇAP SERVİS 800 GR;Hammadde;KİLOGRAM
st0000156;TEL ŞEHRİYE DÖKME 5 KG;Hammadde;KİLOGRAM
st0000157;DİLİM YEŞİL ZEYTİN;Hammadde;KİLOGRAM
st0000158;ARPA ŞEHRİYE DÖKME KG;Hammadde;KİLOGRAM
st0000159;KABARTMA TOZU 1 KG;Hammadde;KİLOGRAM
st0000160;FIRIN MAKARNA;Hammadde;KİLOGRAM
st0000165;DÖKME MAKARNA;Hammadde;KİLOGRAM
st0000166;DAMLA DROP BİTTER KİLOLUK;Hammadde;KİLOGRAM
st0000167;DONUK BEZELYE;Hammadde;KİLOGRAM
st0000172;DEREOTU;Hammadde;ADET
st0000173;HARUN DİLİM KAŞAR;Hammadde;KİLOGRAM
st0000177;LİMON SOSU;Hammadde;LİTRE
st0000178;SİRKE;Hammadde;LİTRE
