Stok Kodu,Stok Adı,Grubu,Birimi,MUTLULUK KAHVELERİ,ÇINARLI,AYAKÜSTÜ,MatchedIngredientName,MatchedPrice,SimScore,NeedsReview
st0000042,NAYLON TORBA,Sarf Malzeme,PAKET,"0,00","0,00","0,00",MANTAR,170.0,44,1
st0000043,PİŞİRME KAĞIDI - YAĞLI KAĞIT,Sarf Malzeme,ADET,"0,00","0,00","0,00",PIŞIRME KAĞIDI--YAĞLI KAĞIT,198.0,100,0
st0000044,FROZEN PİPET,Sarf Malzeme,PAKET,"0,00","0,00","0,00",BERRAK KÖZLENMİŞ PATLICAN  3 KG,309.0,38,1
st0000045,SIZDIRMAZ KAP 250 GR,Sarf Malzeme,ADET,"0,00","0,00","0,00",SIZDIRMAZ KAP 250 GR,119.0,100,0
st0000046,8-B KÖPÜK KAP,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,42,1
st0000047,KARTON ÇORBA KASE 16 OZ,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",7 OZ KARTON  BARDAK*3000AD,1390.0,62,1
st0000048,7 OZ KARTON BARDAK,Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ BARDAK,0.55,100,0
st0000049,SELPAK SENSÖR HAREKETLİ HAVLU 70 MT,Sarf Malzeme,ADET,"0,00","0,00","0,00",VENTURA FRESH M (Genel Temizlik Mad.)20 KG.,598.0,45,1
st0000050,KARTON KUMPİR 100'LÜ PAKET,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,100,0
st0000051,8 OZ BARDAK ,Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ BARDAK,0.55,90,0
st0000055,ALÜMİNYUM KASE 1500 GR + KAPAK,Sarf Malzeme,PAKET,"0,00","0,00","0,00",5000 GR SÜZME ÇİÇEK BALI KOVA HASKAYMAK,960.0,44,1
st0000066,SIZDIRMAZ 500 GR,Sarf Malzeme,ADET,"0,00","0,00","0,00",SIZDIRMAZ KAP 250 GR,119.0,70,1
st0000067,GARSON KATLAMA PEÇETE 33-31,Sarf Malzeme,ADET,"0,00","0,00","0,00",24*24 PEÇETE,458.0,66,1
st0000064,ALÜMİNYUM 2 GÖZLÜ KASE + KAPAK,Sarf Malzeme,PAKET,"0,00","0,00","0,00",5000 GR SÜZME ÇİÇEK BALI KOVA HASKAYMAK,960.0,32,1
st0000112,SALATA KASESİ KAPAĞI,Sarf Malzeme,ADET,"0,00","0,00","0,00",PIŞIRME KAĞIDI--YAĞLI KAĞIT,198.0,52,1
st0000113,SALATA KASESİ SİYAH,Sarf Malzeme,ADET,"0,00","0,00","0,00",PIŞIRME KAĞIDI--YAĞLI KAĞIT,198.0,48,1
st0000125,JUMBO ÇÖP TORBASI 400 GR,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",ÇÖP TORBASI JUMBO 80*110 SİYAH,617.0,82,1
st0000118,1050 CC LUNCH BOX KRAFT 300 ADET,Sarf Malzeme,ADET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,50,1
st0000119,33-B KÖPÜK TABAK,Sarf Malzeme,ADET,"0,00","0,00","0,00",FT KARPUZ KUTU 330ML REMIX DYS,321.82,39,1
st0000120,KARTON ÇORBA KASE 16 OZ 25'Lİ,Sarf Malzeme,ADET,"0,00","0,00","0,00",7 OZ KARTON  BARDAK*3000AD,1390.0,55,1
st0000121,İÇTEN ÇEKMELİ HAVLU,Sarf Malzeme,KOLİ,"0,00","0,00","0,00",ÇERİ DOMATES,100.0,45,1
st0000128,KILIÇ KÜRDAN,Sarf Malzeme,ADET,"0,00","0,00","0,00",PATLICAN,100.0,50,1
st0000153,SELPAK DİSPENSIR Z KATLI,Sarf Malzeme,ADET,"0,00","0,00","0,00",ARSLANOĞLU PEYNIR TATLISI,575.0,48,1
st0000115,PLASTİK KAŞIK 100 LÜ,Sarf Malzeme,PAKET,"0,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,60,1
st0000155,DİSPENSER PEÇETE,Sarf Malzeme,ADET,"0,00","0,00","0,00",24*24 PEÇETE,458.0,66,1
st0000206,AYAKLI KRİSTAL KASE+KAPAK 200ML,Sarf Malzeme,ADET,"0,00","0,00","0,00",30CM 4 LÜ Sefer Tası PASL.,2600.0,31,1
st0000186,KORAPLAST JUMBO ÇÖP TORBASI,Sarf Malzeme,ADET,"0,00","0,00","0,00",ÇÖP TORBASI JUMBO 80*110 SİYAH,617.0,77,1
st0000164,SUB KASE,Sarf Malzeme,ADET,"0,00","0,00","0,00",ASPER,80.0,46,1
st0000181,NAYLON TORBA ORTA,Sarf Malzeme,KİLOGRAM,"0,00","0,00","0,00",MANTAR,170.0,43,1
st0000182,NAYLON TORBA BÜYÜK,Sarf Malzeme,KİLOGRAM,"0,00","0,00","0,00",KALIN BULGUR,29.8,46,1
st0000187,KOSTİK 25 KG,Temizlik Ürünü,KİLOGRAM,"0,00","0,00","0,00",OVA UN 25 KG.,719.0,58,1
st0000207,ÇAMAŞIR SUYU,Temizlik Ürünü,KİLOGRAM,"0,00","0,00","0,00",LİMON LAMAS,110.0,43,1
st0000154,GENEL TEMİZLİK 1 KG,Temizlik Ürünü,KİLOGRAM,"0,00","0,00","0,00",VENTURA FRESH M (Genel Temizlik Mad.)20 KG.,598.0,79,1
st0000180,SIVI EL SABUNU 5 LT,Temizlik Ürünü,ADET,"0,00","0,00","0,00",SIVI SABUN 5 LT,189.8,88,1
st0000174,CİF KREM ,Temizlik Ürünü,KİLOGRAM,"0,00","0,00","0,00",500 GR CAM KİRAZ ŞEKERLEME,248.0,41,1
st0000114,OMO MATİK 10 KG,Temizlik Ürünü,KİLOGRAM,"0,00","0,00","0,00",TOZ ŞEKER 50  KG,1975.0,38,1
st0000068,PRİL 4 KG,Temizlik Ürünü,KİLOGRAM,"0,00","0,00","0,00",PRİL,213.0,100,0
st0000069,ÇAMAŞIR SUYU 5 LT,Temizlik Ürünü,LİTRE,"0,00","0,00","0,00",19 LT DAMACAN SU,118.81,45,1
st0000071,MİKROFİBER BEZ,Temizlik Ürünü,ADET,"0,00","0,00","0,00",MIKROFIBER BEZ,26.0,100,0
st0000072,MOP YEDEK,Temizlik Ürünü,ADET,"0,00","0,00","0,00",VİLEDA PASPAS UCU HAVLU MOP,27.5,50,1
